Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	8.75	0.7175	0.7363	-0.0262	0	99.885	0.921	0.0286	0.0334	0.0144	0	0.115	0.107268569486918	165
Pop	109	8.875	0.7212	0.75	-0.04	0	99.6562	0.8332	0.0304	0.0287	0.0139	0	0.3437	0.101495820591233	166
Pop	109	9.125	0.7362	0.735	0.0025	0	100	0.9717	0.0257	0.0327	0.0242	0	0	0.107887342847435	167
Pop	109	8.625	0.7188	0.75	-0.0412	0	100	0.8647	0.0267	0.0385	0.0226	0	0	0.108626384641522	168
Pop	109	8.5	0.72	0.7225	-0.0037	0	99.6562	0.8864	0.0276	0.0302	0.0139	0	0.3437	0.104419096160381	169
Pop	109	8.75	0.7075	0.7038	0.0062	0	99.7712	0.9774	0.0288	0.0317	0.0199	0	0.2287	0.111357475365274	170
Pop	109	9	0.7263	0.7175	0.0137	0	99.6562	0.982	0.0265	0.028	0.0169	0	0.3437	0.102946534148828	171
Pop	109	8.875	0.7175	0.7312	-0.0175	0	99.4262	0.9531	0.0319	0.0359	0.0092	0	0.5738	0.102812028542304	172
Pop	109	8.875	0.735	0.74	-0.005	0	99.7712	1.0078	0.0283	0.0352	0.0185	0	0.2287	0.105634284743459	173
Pop	109	8.875	0.7238	0.7212	0.0075	0	99.7712	1.0078	0.0292	0.0378	0.0261	0	0.2287	0.111843119266055	174
Pop	109	9	0.7288	0.7412	-0.0162	0	99.7712	0.9258	0.027	0.0325	0.0217	0	0.2287	0.102356846755012	175
Pop	109	9	0.7325	0.7362	-0.005	0	99.3125	1	0.0252	0.0256	0.0104	0	0.6875	0.111317601087326	176
Pop	109	8.875	0.7475	0.7612	-0.0188	0	100	1.0253	0.0251	0.0257	0.0203	0	0	0.102127607883112	177
Pop	109	9	0.7175	0.7388	-0.0262	0	99.885	0.982	0.0289	0.0381	0.0201	0	0.115	0.0990739041794088	178
Pop	109	8.875	0.7225	0.6912	0.0462	0	99.885	1.0078	0.0272	0.0348	0.0222	0	0.115	0.115753618756371	179
Pop	109	8.75	0.7188	0.7325	-0.0125	0	99.5413	0.9955	0.0288	0.0398	0.0175	0	0.4588	0.10019373088685	180
Pop	109	8.875	0.7213	0.7538	-0.0438	0	99.885	0.8332	0.0271	0.0339	0.018	0	0.115	0.0965311247026843	181
Pop	109	8.75	0.7112	0.735	-0.035	0	99.885	0.921	0.0319	0.0327	0.0164	0	0.115	0.104592745497791	182
Pop	109	8.875	0.7375	0.7575	-0.0275	0	99.4262	1.0426	0.0258	0.0333	0.0158	0	0.5738	0.101633231396534	183
Pop	109	9	0.7362	0.7612	-0.035	0	99.3125	0.9258	0.0246	0.0268	0.0122	0	0.6875	0.103486068637445	184
Pop	109	8.625	0.7238	0.7662	-0.0562	0	100	0.9246	0.0334	0.039	0.0196	0	0	0.0957835881753313	185
Pop	109	8.375	0.7175	0.6938	0.035	0	99.7712	0.9246	0.0245	0.0339	0.0199	0	0.2287	0.117890672782875	186
Pop	109	8.625	0.7338	0.7525	-0.025	0	99.4262	0.9808	0.0274	0.034	0.0155	0	0.5738	0.101182398912674	187
Pop	109	9	0.7288	0.735	-0.0112	0	99.6562	1	0.0272	0.0237	0.0181	0	0.3437	0.101517363234794	188
Pop	109	8.625	0.7288	0.7675	-0.0562	0	99.885	0.9625	0.0259	0.0266	0.0181	0	0.115	0.0968622154264356	189
Pop	109	8.5	0.7375	0.7475	-0.0138	0	99.885	0.7792	0.0293	0.0294	0.0152	0	0.115	0.108172120285423	190
Pop	109	8.625	0.73	0.7362	-0.01	0	99.7712	0.8647	0.0243	0.0263	0.0215	0	0.2287	0.111927692830445	191
Pop	109	8.25	0.7263	0.715	0.01	0	99.7712	0.9014	0.0296	0.0184	0.023	0	0.2287	0.107672545022086	192
Pop	109	8.625	0.7075	0.715	-0.0125	0	99.4262	0.9625	0.028	0.0325	0.0307	0	0.5738	0.112656082229018	193
Pop	109	8.625	0.7263	0.7325	-0.01	0	100	1.0166	0.0311	0.0293	0.0183	0	0	0.106187529731566	194
Pop	109	8.875	0.7425	0.755	-0.0162	0	99.7712	0.8952	0.0257	0.0267	0.0128	0	0.2287	0.104517601087326	195
Pop	109	8.75	0.7312	0.7425	-0.0112	0	99.7712	1.0308	0.0262	0.0376	0.0229	0	0.2287	0.103039279646619	196
Pop	109	9	0.7188	0.7225	-0.0025	0	99.885	1	0.0285	0.0345	0.0101	0	0.115	0.103357679238872	197
Pop	109	8.625	0.7288	0.7475	-0.0275	0	100	0.8851	0.0339	0.0339	0.0222	0	0	0.100306744818213	198
Pop	109	8.75	0.7338	0.745	-0.0162	0	99.6562	0.921	0.0249	0.0263	0.0202	0	0.3437	0.106752072714917	199
Pop	109	8.5	0.735	0.73	0.0088	0	99.885	0.9449	0.0287	0.0328	0.0125	0	0.115	0.102361348963643	200
Pop	109	8.75	0.725	0.75	-0.0312	0	99.3125	1.0308	0.0332	0.0454	0.0361	0	0.6875	0.1034208120965	201
Pop	109	9	0.7125	0.7325	-0.0225	0	100	1	0.0325	0.0448	0.0194	0	0	0.0989440366972477	202
